	#chr	start	end	gene_id	h2g	n_causal
4615	chr4	6575174	6575175	ENSG00000013288.8	0.01	3
4616	chr4	6640090	6640091	ENSG00000179010.14	0.0	0
4617	chr4	6663395	6663396	ENSG00000170846.17	0.06999999999999999	5
4618	chr4	6673895	6673896	ENSG00000251580.2	0.0	0
4619	chr4	6690518	6690519	ENSG00000246526.2	0.01	2
4620	chr4	6693877	6693878	ENSG00000163993.7	0.76	2
4621	chr4	6709864	6709865	ENSG00000178988.11	0.02	5
4622	chr4	6716054	6716055	ENSG00000186222.4	0.0	0
4623	chr4	6781374	6781375	ENSG00000170871.12	0.060000000000000005	2
4624	chr4	6909241	6909242	ENSG00000132405.19	0.060000000000000005	1
4625	chr4	6997011	6997012	ENSG00000202392.1	0.02	1
4626	chr4	7041898	7041899	ENSG00000173011.12	0.01	1
4627	chr4	7042938	7042939	ENSG00000173013.5	0.01	5
4628	chr4	7046230	7046231	ENSG00000245748.1	0.01	5
4629	chr4	7068063	7068064	ENSG00000109519.13	0.15000000000000002	1
4630	chr4	7103384	7103385	ENSG00000245468.3	0.01	4
4631	chr4	7192537	7192538	ENSG00000184985.16	0.0	0
4632	chr4	7939925	7939926	ENSG00000196526.10	0.060000000000000005	2
4633	chr4	8158831	8158832	ENSG00000163995.20	0.02	5
4634	chr4	8182071	8182072	ENSG00000125089.17	0.77	5
4635	chr4	8269753	8269754	ENSG00000170801.10	0.22	4
4636	chr4	8358337	8358338	ENSG00000251615.3	0.01	4
4637	chr4	8438868	8438869	ENSG00000155275.19	0.01	1
4638	chr4	8440722	8440723	ENSG00000087008.16	0.01	5
4639	chr4	8482269	8482270	ENSG00000205959.3	0.0	0
4640	chr4	9532428	9532429	ENSG00000284648.1	0.01	1
4641	chr4	10054935	10054936	ENSG00000109667.12	0.0	0
4642	chr4	10073018	10073019	ENSG00000261490.1	0.0	0
4643	chr4	10116948	10116949	ENSG00000071127.17	0.22	1
4644	chr4	10457425	10457426	ENSG00000178163.8	0.01	2
4645	chr4	10684767	10684768	ENSG00000109684.15	0.01	4
4646	chr4	11371974	11371975	ENSG00000250896.1	0.0	0
4647	chr4	11429563	11429564	ENSG00000002587.10	0.22	2
4648	chr4	13484364	13484365	ENSG00000157869.15	0.0	0
4649	chr4	13627724	13627725	ENSG00000038219.13	0.01	2
4650	chr4	15002673	15002674	ENSG00000137449.15	0.01	4
4651	chr4	15339817	15339818	ENSG00000163145.12	0.0	0
4652	chr4	15420031	15420032	ENSG00000251379.1	0.09	2
4653	chr4	15427913	15427914	ENSG00000249252.5	0.01	2
4654	chr4	15469864	15469865	ENSG00000048342.16	0.04	2
4655	chr4	15564252	15564253	ENSG00000273133.1	0.02	3
4656	chr4	15681661	15681662	ENSG00000237765.7	0.01	2
4657	chr4	15681678	15681679	ENSG00000118564.14	0.05	3
4658	chr4	15703064	15703065	ENSG00000109743.11	0.22	5
4659	chr4	15731626	15731627	ENSG00000214846.4	0.0	0
4660	chr4	15778274	15778275	ENSG00000004468.13	0.0	0
4661	chr4	15969308	15969309	ENSG00000137441.8	0.0	0
4662	chr4	16084377	16084378	ENSG00000007062.11	0.0	0
4663	chr4	16226684	16226685	ENSG00000263327.6	0.01	5
4664	chr4	16227409	16227410	ENSG00000169762.17	0.44	2
4665	chr4	16898677	16898678	ENSG00000169744.13	0.0	0
4666	chr4	17512205	17512206	ENSG00000151552.12	0.01	5
4667	chr4	17577191	17577192	ENSG00000002549.12	0.01	2
4668	chr4	17614584	17614585	ENSG00000249502.2	0.0	0
4669	chr4	17614640	17614641	ENSG00000118579.13	0.05	3
4670	chr4	17810757	17810758	ENSG00000163257.11	0.0	0
4671	chr4	17810978	17810979	ENSG00000109805.10	0.02	2
4672	chr4	17911673	17911674	ENSG00000235413.3	0.0	0
4673	chr4	18021875	18021876	ENSG00000178177.15	0.0	0
4674	chr4	20696281	20696282	ENSG00000163138.19	0.0	0
4675	chr4	22516065	22516066	ENSG00000152990.14	0.01	4
4676	chr4	22727949	22727950	ENSG00000237350.1	0.0	0
4677	chr4	24584553	24584554	ENSG00000109606.13	0.23	5
4678	chr4	24980147	24980148	ENSG00000181982.18	0.0	0
4679	chr4	25160448	25160449	ENSG00000109618.12	0.37	2
4680	chr4	25160640	25160641	ENSG00000281501.1	0.02	2
4681	chr4	25234032	25234033	ENSG00000038210.13	0.03	2
4682	chr4	25312773	25312774	ENSG00000168228.15	0.01	4
4683	chr4	25377212	25377213	ENSG00000053900.10	0.0	0
4684	chr4	25861829	25861830	ENSG00000250317.8	0.0	0
4685	chr4	25863759	25863760	ENSG00000091490.11	0.09	4
4686	chr4	26163454	26163455	ENSG00000168214.20	0.09999999999999999	3
4687	chr4	26576436	26576437	ENSG00000109680.11	0.59	4
4688	chr4	26857600	26857601	ENSG00000109689.16	0.0	0
4689	chr4	26860598	26860599	ENSG00000240005.5	0.0	0
4690	chr4	26874348	26874349	ENSG00000248340.2	0.06999999999999999	4
4691	chr4	31997396	31997397	ENSG00000251129.1	0.02	1
4692	chr4	36244513	36244514	ENSG00000047365.12	0.04	4
4693	chr4	36281621	36281622	ENSG00000197057.9	0.01	5
4694	chr4	37453924	37453925	ENSG00000154274.15	0.0	0
4695	chr4	37588874	37588875	ENSG00000248936.1	0.02	1
4696	chr4	37686375	37686376	ENSG00000181826.10	0.0	0
4697	chr4	37826659	37826660	ENSG00000169299.14	0.01	1
4698	chr4	37867090	37867091	ENSG00000279386.1	0.0	0
4699	chr4	37868291	37868292	ENSG00000249863.2	0.01	1
4700	chr4	37891083	37891084	ENSG00000065882.16	0.0	0
4701	chr4	37960397	37960398	ENSG00000250254.2	0.0	0
4702	chr4	37996202	37996203	ENSG00000251332.1	0.01	2
4703	chr4	38509766	38509767	ENSG00000249667.1	0.0	0
4704	chr4	38664196	38664197	ENSG00000109787.13	0.01	2
4705	chr4	38664882	38664883	ENSG00000231160.9	0.0	0
4706	chr4	38782989	38782990	ENSG00000174123.11	0.02	5
4707	chr4	38856816	38856817	ENSG00000174125.8	0.01	4
4708	chr4	38856816	38856817	ENSG00000174130.12	0.16	1
4709	chr4	38867676	38867677	ENSG00000197712.12	0.0	0
4710	chr4	39032921	39032922	ENSG00000121895.8	0.01	5
4711	chr4	39045038	39045039	ENSG00000109790.16	0.26	1
4712	chr4	39133912	39133913	ENSG00000249685.1	0.0	0
4713	chr4	39182503	39182504	ENSG00000157796.18	0.0	0
4714	chr4	39366374	39366375	ENSG00000035928.16	0.01	2
4715	chr4	39458586	39458587	ENSG00000121897.14	0.0	0
4716	chr4	39458948	39458949	ENSG00000163682.16	0.01	5
4717	chr4	39480254	39480255	ENSG00000224097.5	0.93	5
4718	chr4	39528018	39528019	ENSG00000249348.1	0.01	1
4719	chr4	39528310	39528311	ENSG00000109814.12	0.06999999999999999	3
4720	chr4	39638901	39638902	ENSG00000163683.12	0.99	3
4721	chr4	39639124	39639125	ENSG00000255458.6	0.0	0
4722	chr4	39698108	39698109	ENSG00000078140.14	0.23	1
4723	chr4	39771370	39771371	ENSG00000180610.10	0.0	0
4724	chr4	39973441	39973442	ENSG00000250568.1	0.03	5
4725	chr4	39973443	39973444	ENSG00000231707.4	0.01	3
4726	chr4	39977955	39977956	ENSG00000121892.15	0.01	3
4727	chr4	40056849	40056850	ENSG00000078177.14	0.01	1
4728	chr4	40057198	40057199	ENSG00000205794.4	0.01	3
4729	chr4	40166674	40166675	ENSG00000260296.1	0.0	0
4730	chr4	40191052	40191053	ENSG00000168421.13	0.0	0
4731	chr4	40316484	40316485	ENSG00000249241.1	0.04	1
4732	chr4	40426118	40426119	ENSG00000250893.1	0.09999999999999999	4
4733	chr4	40630874	40630875	ENSG00000163694.15	0.0	0
4734	chr4	40749924	40749925	ENSG00000179299.17	0.05	4
4735	chr4	40786109	40786110	ENSG00000248780.1	0.0	0
4736	chr4	41216713	41216714	ENSG00000163697.17	0.06999999999999999	3
4737	chr4	41256412	41256413	ENSG00000154277.12	0.0	0
4738	chr4	41359606	41359607	ENSG00000064042.18	0.060000000000000005	4
4739	chr4	41935128	41935129	ENSG00000109133.13	0.0	0
4740	chr4	41981755	41981756	ENSG00000182308.7	0.08	4
4741	chr4	41990501	41990502	ENSG00000014824.14	0.0	0
4742	chr4	42152877	42152878	ENSG00000188848.16	0.9	1
4743	chr4	42562424	42562425	ENSG00000248283.2	0.01	4
4744	chr4	42657104	42657105	ENSG00000124406.16	0.01	2
4745	chr4	44678419	44678420	ENSG00000151806.14	0.01	5
4746	chr4	44694385	44694386	ENSG00000273369.1	0.02	2
4747	chr4	44726594	44726595	ENSG00000163281.11	0.0	0
4748	chr4	46724407	46724408	ENSG00000249936.3	0.0	0
4749	chr4	47463701	47463702	ENSG00000169019.11	0.0	0
4750	chr4	47485287	47485288	ENSG00000145246.13	0.04	4
4751	chr4	47838105	47838106	ENSG00000145244.12	0.17	3
4752	chr4	47844338	47844339	ENSG00000259959.1	0.0	0
4753	chr4	47914141	47914142	ENSG00000163293.12	0.0	0
4754	chr4	47914666	47914667	ENSG00000170448.12	0.0	0
4755	chr4	48134249	48134250	ENSG00000074966.11	0.0	0
4756	chr4	48269837	48269838	ENSG00000135605.13	0.0	0
4757	chr4	48341528	48341529	ENSG00000109171.15	0.59	1
4758	chr4	48780321	48780322	ENSG00000075539.14	0.02	1
4759	chr4	48805211	48805212	ENSG00000109180.14	0.0	0
4760	chr4	48906936	48906937	ENSG00000145247.11	0.06999999999999999	1
4761	chr4	51842999	51843000	ENSG00000109184.15	0.15000000000000002	1
4762	chr4	52038481	52038482	ENSG00000163069.12	0.03	5
4763	chr4	52659300	52659301	ENSG00000109189.13	0.0	0
4764	chr4	52659405	52659406	ENSG00000248866.1	0.0	0
4765	chr4	52712403	52712404	ENSG00000226950.6	0.0	0
4766	chr4	52722376	52722377	ENSG00000286161.1	0.0	0
4767	chr4	53366065	53366066	ENSG00000184178.16	0.0	0
4768	chr4	53377640	53377641	ENSG00000145216.16	0.0	0
4769	chr4	53987057	53987058	ENSG00000229585.4	0.03	4
4770	chr4	54059596	54059597	ENSG00000269506.2	0.05	2
4771	chr4	54064604	54064605	ENSG00000109220.11	0.02	1
4772	chr4	54229279	54229280	ENSG00000134853.12	0.0	0
4773	chr4	54657917	54657918	ENSG00000157404.15	0.05	1
4774	chr4	55346241	55346242	ENSG00000128039.11	0.03	3
4775	chr4	55395841	55395842	ENSG00000249700.8	0.0	0
4776	chr4	55395956	55395957	ENSG00000134851.13	0.02	5
4777	chr4	55546908	55546909	ENSG00000134852.15	0.01	2
4778	chr4	55853647	55853648	ENSG00000090989.18	0.88	1
4779	chr4	55948870	55948871	ENSG00000174799.10	0.03	2
4780	chr4	56049072	56049073	ENSG00000109265.14	0.05	4
4781	chr4	56387507	56387508	ENSG00000157426.14	0.04	3
4782	chr4	56435614	56435615	ENSG00000128059.8	0.51	5
4783	chr4	56435740	56435741	ENSG00000128050.8	0.0	0
4784	chr4	56467335	56467336	ENSG00000174780.16	0.0	0
4785	chr4	56681898	56681899	ENSG00000171476.22	0.6900000000000001	2
4786	chr4	56821741	56821742	ENSG00000128040.11	0.0	0
4787	chr4	56907875	56907876	ENSG00000084093.17	0.0	0
4788	chr4	56977605	56977606	ENSG00000084092.7	0.16	3
4789	chr4	56977721	56977722	ENSG00000047315.16	0.03	5
4790	chr4	57110384	57110385	ENSG00000163453.11	0.09999999999999999	4
4791	chr4	65573458	65573459	ENSG00000243199.1	0.02	1
4792	chr4	66094141	66094142	ENSG00000236562.4	0.03	2
4793	chr4	67545502	67545503	ENSG00000145241.11	0.0	0
4794	chr4	67558726	67558727	ENSG00000035720.8	0.01	3
4795	chr4	67701154	67701155	ENSG00000033178.13	0.0	0
4796	chr4	67701279	67701280	ENSG00000248049.6	0.0	0
4797	chr4	68350088	68350089	ENSG00000083896.12	0.0	0
4798	chr4	69182099	69182100	ENSG00000250696.5	0.0	0
4799	chr4	69214730	69214731	ENSG00000213759.9	0.01	1
4800	chr4	69216634	69216635	ENSG00000268803.1	0.19	2
4801	chr4	69787960	69787961	ENSG00000173597.9	0.0	0
4802	chr4	70681816	70681817	ENSG00000132465.11	0.0	0
4803	chr4	70688531	70688532	ENSG00000132467.4	0.01	5
4804	chr4	70704203	70704204	ENSG00000018189.13	0.37	4
4805	chr4	70704490	70704491	ENSG00000272986.1	0.0	0
4806	chr4	70839889	70839890	ENSG00000132463.14	0.0	0
4807	chr4	70902325	70902326	ENSG00000173542.8	0.0	0
4808	chr4	70992537	70992538	ENSG00000156136.10	0.0	0
4809	chr4	71062666	71062667	ENSG00000080493.17	0.6900000000000001	1
4810	chr4	73069754	73069755	ENSG00000163626.16	0.0	0
4811	chr4	73258797	73258798	ENSG00000132466.18	0.0	0
4812	chr4	73740540	73740541	ENSG00000169429.11	0.12	1
4813	chr4	73836639	73836640	ENSG00000124875.10	0.0	0
4814	chr4	73853295	73853296	ENSG00000109272.4	0.0	0
4815	chr4	73869392	73869393	ENSG00000163739.4	0.0	0
4816	chr4	73982123	73982124	ENSG00000163737.3	0.0	0
4817	chr4	73988189	73988190	ENSG00000163736.4	0.06999999999999999	2
4818	chr4	73998676	73998677	ENSG00000163735.7	0.01	5
4819	chr4	74038806	74038807	ENSG00000163734.4	0.39	3
4820	chr4	74099194	74099195	ENSG00000081041.9	0.17	4
4821	chr4	74114173	74114174	ENSG00000163738.18	0.0	0
4822	chr4	74158372	74158373	ENSG00000269559.2	0.01	1
4823	chr4	74365144	74365145	ENSG00000124882.4	0.7000000000000001	2
4824	chr4	74445135	74445136	ENSG00000109321.11	0.0	0
4825	chr4	74933094	74933095	ENSG00000169116.11	0.01	2
4826	chr4	75513945	75513946	ENSG00000174796.12	0.0	0
4827	chr4	75514763	75514764	ENSG00000163743.13	0.08	2
4828	chr4	75724524	75724525	ENSG00000138757.14	0.0	0
4829	chr4	75724592	75724593	ENSG00000138768.14	0.0	0
4830	chr4	75902570	75902571	ENSG00000156194.18	0.0	0
4831	chr4	75941012	75941013	ENSG00000138744.15	0.01	1
4832	chr4	75990961	75990962	ENSG00000198301.12	0.8300000000000001	2
4833	chr4	76007487	76007488	ENSG00000138755.5	0.01	5
4834	chr4	76023496	76023497	ENSG00000169245.6	0.04	2
4835	chr4	76041414	76041415	ENSG00000169248.12	0.0	0
4836	chr4	76148433	76148434	ENSG00000138750.15	0.36000000000000004	3
4837	chr4	76214039	76214040	ENSG00000189157.14	0.0	0
4838	chr4	76234535	76234536	ENSG00000138760.10	0.060000000000000005	5
4839	chr4	76306025	76306026	ENSG00000118804.8	0.03	1
4840	chr4	76949702	76949703	ENSG00000138758.11	0.0	0
4841	chr4	77075988	77075989	ENSG00000118816.10	0.0	0
4842	chr4	77157206	77157207	ENSG00000138764.15	0.0	0
4843	chr4	77819614	77819615	ENSG00000138767.13	0.01	1
4844	chr4	77862829	77862830	ENSG00000169288.18	0.06999999999999999	3
4845	chr4	78182045	78182046	ENSG00000249565.2	0.0	0
4846	chr4	78551746	78551747	ENSG00000138772.13	0.0	0
4847	chr4	78645902	78645903	ENSG00000251442.5	0.26	3
4848	chr4	78775972	78775973	ENSG00000260278.1	0.01	3
4849	chr4	78776341	78776342	ENSG00000138756.17	0.85	1
4850	chr4	78939437	78939438	ENSG00000163291.14	0.05	4
4851	chr4	78971744	78971745	ENSG00000249307.6	0.01	5
4852	chr4	79492415	79492416	ENSG00000250334.5	0.0	0
4853	chr4	79588129	79588130	ENSG00000249646.2	0.0	0
4854	chr4	80125453	80125454	ENSG00000163297.17	0.0	0
4855	chr4	80183878	80183879	ENSG00000152784.15	0.0	0
4856	chr4	81215116	81215117	ENSG00000138669.9	0.13	2
4857	chr4	82044243	82044244	ENSG00000138670.17	0.01	4
4858	chr4	82275070	82275071	ENSG00000234568.3	0.11	5
4859	chr4	82346841	82346842	ENSG00000273156.2	0.05	5
4860	chr4	82374300	82374301	ENSG00000272677.1	0.06999999999999999	1
4861	chr4	82374502	82374503	ENSG00000138668.19	0.0	0
4862	chr4	82430407	82430408	ENSG00000152795.17	0.01	3
4863	chr4	82430589	82430590	ENSG00000145293.16	0.04	5
4864	chr4	82798795	82798796	ENSG00000145284.12	0.060000000000000005	5
4865	chr4	82900683	82900684	ENSG00000168152.13	0.02	4
4866	chr4	82900959	82900960	ENSG00000251022.6	0.02	5
4867	chr4	82901165	82901166	ENSG00000138674.17	0.01	2
4868	chr4	83012925	83012926	ENSG00000189308.11	0.0	0
4869	chr4	83034446	83034447	ENSG00000138663.9	0.34	3
4870	chr4	83075956	83075957	ENSG00000286035.1	0.01	1
4871	chr4	83137074	83137075	ENSG00000145287.10	0.02	5
4872	chr4	83284913	83284914	ENSG00000173085.14	0.0	0
4873	chr4	83335152	83335153	ENSG00000173083.15	0.0	0
4874	chr4	83455854	83455855	ENSG00000163312.11	0.02	5
4875	chr4	83455982	83455983	ENSG00000163319.11	0.0	0
4876	chr4	83523347	83523348	ENSG00000163322.14	0.24000000000000002	1
4877	chr4	83535913	83535914	ENSG00000138678.11	0.0	0
4878	chr4	84583126	84583127	ENSG00000163624.6	0.01	4
4879	chr4	84687999	84688000	ENSG00000239466.3	0.01	4
4880	chr4	84965533	84965534	ENSG00000180769.9	0.03	3
4881	chr4	84966390	84966391	ENSG00000163625.15	0.02	5
4882	chr4	85475149	85475150	ENSG00000138639.18	0.0	0
4883	chr4	86594314	86594315	ENSG00000163629.13	0.01	4
4884	chr4	86594624	86594625	ENSG00000109339.22	0.0	0
4885	chr4	86914816	86914817	ENSG00000251411.1	0.02	1
4886	chr4	86935001	86935002	ENSG00000172493.20	0.02	4
4887	chr4	86936201	86936202	ENSG00000284968.1	0.9600000000000001	1
4888	chr4	86950112	86950113	ENSG00000235043.3	0.01	4
4889	chr4	87207091	87207092	ENSG00000248180.1	0.26	5
4890	chr4	87240313	87240314	ENSG00000145332.14	0.04	5
4891	chr4	87322885	87322886	ENSG00000170509.12	0.11	1
4892	chr4	87391187	87391188	ENSG00000198189.11	0.17	1
4893	chr4	87422572	87422573	ENSG00000170502.13	0.01	2
4894	chr4	87891842	87891843	ENSG00000183199.6	0.0	0
4895	chr4	87975649	87975650	ENSG00000118785.14	0.23	3
4896	chr4	88007634	88007635	ENSG00000118762.8	0.06999999999999999	3
4897	chr4	88231627	88231628	ENSG00000118777.12	0.01	5
4898	chr4	88284768	88284769	ENSG00000163644.15	0.0	0
4899	chr4	88378738	88378739	ENSG00000138642.14	0.01	1
4900	chr4	88457118	88457119	ENSG00000138646.9	0.04	2
4901	chr4	88523775	88523776	ENSG00000145337.5	0.01	2
4902	chr4	88592433	88592434	ENSG00000138641.17	0.02	2
4903	chr4	88697828	88697829	ENSG00000177432.7	0.01	5
4904	chr4	88709788	88709789	ENSG00000248019.2	0.0	0
4905	chr4	89111397	89111398	ENSG00000138640.15	0.0	0
4906	chr4	89111499	89111500	ENSG00000180346.3	0.01	2
4907	chr4	89307799	89307800	ENSG00000185477.5	0.03	5
4908	chr4	89838314	89838315	ENSG00000145335.15	0.09	5
4909	chr4	89879531	89879532	ENSG00000138722.10	0.0	0
4910	chr4	90127534	90127535	ENSG00000184305.15	0.0	0
4911	chr4	94207610	94207611	ENSG00000163104.17	0.02	3
4912	chr4	94342875	94342876	ENSG00000163106.10	0.02	1
4913	chr4	94451856	94451857	ENSG00000163110.15	0.02	4
4914	chr4	98025389	98025390	ENSG00000242697.2	0.33	5
4915	chr4	98261383	98261384	ENSG00000138698.14	0.0	0
4916	chr4	98658610	98658611	ENSG00000168785.8	0.45	4
4917	chr4	98909847	98909848	ENSG00000249055.1	0.060000000000000005	4
4918	chr4	98930636	98930637	ENSG00000151247.12	0.0	0
4919	chr4	98995658	98995659	ENSG00000164024.12	0.01	5
4920	chr4	99068124	99068125	ENSG00000272777.1	0.0	0
4921	chr4	99088800	99088801	ENSG00000197894.11	0.0	0
4922	chr4	99088856	99088857	ENSG00000246090.6	0.01	2
4923	chr4	99564038	99564039	ENSG00000145331.14	0.14	5
4924	chr4	99816826	99816827	ENSG00000070190.13	0.0	0
4925	chr4	99844137	99844138	ENSG00000279913.1	0.01	1
4926	chr4	99894427	99894428	ENSG00000109270.13	0.02	1
4927	chr4	99946617	99946618	ENSG00000164031.17	0.0	0
4928	chr4	99950298	99950299	ENSG00000164032.12	0.0	0
4929	chr4	101347779	101347780	ENSG00000254531.1	0.01	4
4930	chr4	101348277	101348278	ENSG00000138814.17	0.04	1
4931	chr4	101411285	101411286	ENSG00000153064.12	0.0	0
4932	chr4	102431257	102431258	ENSG00000138821.13	0.03	5
4933	chr4	102450009	102450010	ENSG00000248161.5	0.0	0
4934	chr4	102501318	102501319	ENSG00000260651.1	0.01	1
4935	chr4	102501330	102501331	ENSG00000109320.12	0.0	0
4936	chr4	102730170	102730171	ENSG00000248971.2	0.01	4
4937	chr4	102730720	102730721	ENSG00000230069.3	0.42000000000000004	1
4938	chr4	102751400	102751401	ENSG00000251288.2	0.19	3
4939	chr4	102760993	102760994	ENSG00000109323.9	0.05	1
4940	chr4	102814251	102814252	ENSG00000286242.1	0.0	0
4941	chr4	102828054	102828055	ENSG00000246560.2	0.01	3
4942	chr4	102868895	102868896	ENSG00000109332.20	0.0	0
4943	chr4	102868973	102868974	ENSG00000145354.12	0.0	0
4944	chr4	103019738	103019739	ENSG00000164037.16	0.01	5
4945	chr4	103085828	103085829	ENSG00000164038.15	0.12	2
4946	chr4	103099869	103099870	ENSG00000164039.15	0.29000000000000004	2
4947	chr4	103198408	103198409	ENSG00000138778.11	0.0	0
4948	chr4	105140618	105140619	ENSG00000251259.1	0.0	0
4949	chr4	105145874	105145875	ENSG00000168769.13	0.0	0
4950	chr4	105474066	105474067	ENSG00000138777.20	0.03	5
4951	chr4	105484697	105484698	ENSG00000249264.1	0.0	0
4952	chr4	105708777	105708778	ENSG00000138780.14	0.01	5
4953	chr4	105895985	105895986	ENSG00000138785.15	0.19	3
4954	chr4	106315543	106315544	ENSG00000164022.16	0.14	2
4955	chr4	106321494	106321495	ENSG00000145348.16	0.01	5
4956	chr4	107720233	107720234	ENSG00000138801.9	0.65	3
4957	chr4	107824562	107824563	ENSG00000164023.14	0.2	1
4958	chr4	107931548	107931549	ENSG00000155016.18	0.0	0
4959	chr4	107978798	107978799	ENSG00000245293.2	0.0	0
4960	chr4	107989713	107989714	ENSG00000138796.16	0.0	0
4961	chr4	108167524	108167525	ENSG00000232021.6	0.01	1
4962	chr4	108168955	108168956	ENSG00000138795.10	0.0	0
4963	chr4	108620565	108620566	ENSG00000109475.16	0.09	3
4964	chr4	108650584	108650585	ENSG00000198856.13	0.0	0
4965	chr4	108671952	108671953	ENSG00000286136.1	0.02	3
4966	chr4	109433771	109433772	ENSG00000138802.11	0.0	0
4967	chr4	109433816	109433817	ENSG00000247950.6	0.06999999999999999	3
4968	chr4	109560211	109560212	ENSG00000005059.16	0.01	5
4969	chr4	109692003	109692004	ENSG00000273447.1	0.0	0
4970	chr4	109703582	109703583	ENSG00000138794.10	0.16	3
4971	chr4	109730069	109730070	ENSG00000123739.11	0.21000000000000002	3
4972	chr4	109815509	109815510	ENSG00000109534.17	0.01	1
4973	chr4	109912883	109912884	ENSG00000138798.12	0.09	2
4974	chr4	110199198	110199199	ENSG00000170522.9	0.0	0
4975	chr4	112145453	112145454	ENSG00000174749.6	0.02	5
4976	chr4	112231595	112231596	ENSG00000260526.1	0.01	4
4977	chr4	112231736	112231737	ENSG00000138660.11	0.66	2
4978	chr4	112285508	112285509	ENSG00000073331.18	0.01	1
4979	chr4	112285903	112285904	ENSG00000145365.11	0.21000000000000002	1
4980	chr4	112356134	112356135	ENSG00000251441.3	0.18000000000000002	3
4981	chr4	112636988	112636989	ENSG00000138658.15	0.0	0
4982	chr4	112637106	112637107	ENSG00000174720.16	0.01	1
4983	chr4	112650050	112650051	ENSG00000249532.5	0.0	0
4984	chr4	112788877	112788878	ENSG00000241741.1	0.03	5
4985	chr4	113217169	113217170	ENSG00000196656.7	0.02	1
4986	chr4	113761926	113761927	ENSG00000145349.17	0.0	0
4987	chr4	114598769	114598770	ENSG00000174607.11	0.13	5
4988	chr4	117576173	117576174	ENSG00000213492.2	0.85	2
4989	chr4	118278708	118278709	ENSG00000269893.7	0.12	5
4990	chr4	118467589	118467590	ENSG00000154608.14	0.11	3
4991	chr4	118591772	118591773	ENSG00000260404.3	0.0	0
4992	chr4	118638781	118638782	ENSG00000248213.3	0.0	0
4993	chr4	118685391	118685392	ENSG00000145388.15	0.0	0
4994	chr4	118838682	118838683	ENSG00000150961.15	0.0	0
4995	chr4	118850687	118850688	ENSG00000172403.11	0.65	4
4996	chr4	119212635	119212636	ENSG00000145390.11	0.02	5
4997	chr4	119304444	119304445	ENSG00000164096.13	0.05	4
4998	chr4	119454637	119454638	ENSG00000283050.2	0.42000000000000004	4
4999	chr4	119454790	119454791	ENSG00000245958.6	0.03	4
5000	chr4	119456349	119456350	ENSG00000250950.1	0.01	5
5001	chr4	119628803	119628804	ENSG00000138735.16	0.01	5
5002	chr4	120066857	120066858	ENSG00000164109.14	0.56	1
5003	chr4	120922869	120922870	ENSG00000138738.10	0.16	3
5004	chr4	121227465	121227466	ENSG00000050730.16	0.0	0
5005	chr4	121696991	121696992	ENSG00000164111.15	0.38	3
5006	chr4	121801316	121801317	ENSG00000123737.12	0.01	3
5007	chr4	121823932	121823933	ENSG00000145386.10	0.0	0
5008	chr4	121870496	121870497	ENSG00000138686.9	0.01	4
5009	chr4	122152332	122152333	ENSG00000138688.15	0.0	0
5010	chr4	122732481	122732482	ENSG00000224786.2	0.03	2
5011	chr4	122732701	122732702	ENSG00000181004.10	0.0	0
5012	chr4	122826707	122826708	ENSG00000138685.15	0.02	3
5013	chr4	122922967	122922968	ENSG00000170917.13	0.01	5
5014	chr4	122923077	122923078	ENSG00000145375.8	0.0	0
5015	chr4	123396794	123396795	ENSG00000164056.11	0.03	2
5016	chr4	124712731	124712732	ENSG00000151458.12	0.0	0
5017	chr4	127880892	127880893	ENSG00000142731.11	0.0	0
5018	chr4	127965305	127965306	ENSG00000164074.15	0.11	5
5019	chr4	127966033	127966034	ENSG00000164073.10	0.0	0
5020	chr4	128061285	128061286	ENSG00000138709.19	0.38	5
5021	chr4	128288828	128288829	ENSG00000164040.16	0.060000000000000005	5
5022	chr4	128292750	128292751	ENSG00000251432.6	0.01	5
5023	chr4	128809699	128809700	ENSG00000077684.16	0.02	5
5024	chr4	129093316	129093317	ENSG00000151470.13	0.01	1
5025	chr4	129093599	129093600	ENSG00000151466.12	0.060000000000000005	3
5026	chr4	138242348	138242349	ENSG00000151012.13	0.01	3
5027	chr4	139015780	139015781	ENSG00000151014.6	0.0	0
5028	chr4	139115373	139115374	ENSG00000179967.11	0.02	5
5029	chr4	139155152	139155153	ENSG00000276396.1	0.0	0
5030	chr4	139177217	139177218	ENSG00000109381.19	0.0	0
5031	chr4	139301504	139301505	ENSG00000164134.13	0.01	5
5032	chr4	139302550	139302551	ENSG00000109390.12	0.060000000000000005	5
5033	chr4	139430883	139430884	ENSG00000248863.2	0.01	1
5034	chr4	139453231	139453232	ENSG00000172007.6	0.0	0
5035	chr4	139454033	139454034	ENSG00000273247.5	0.02	4
5036	chr4	139556798	139556799	ENSG00000272717.1	0.12	1
5037	chr4	139606698	139606699	ENSG00000145391.13	0.01	4
5038	chr4	139665767	139665768	ENSG00000085871.9	0.0	0
5039	chr4	139698553	139698554	ENSG00000178458.5	0.47000000000000003	3
5040	chr4	140154183	140154184	ENSG00000196782.12	0.01	4
5041	chr4	140257285	140257286	ENSG00000153130.17	0.9400000000000001	4
5042	chr4	140373380	140373381	ENSG00000196951.10	0.0	0
5043	chr4	140524167	140524168	ENSG00000179387.10	0.0	0
5044	chr4	140645488	140645489	ENSG00000249661.1	0.03	4
